file_path,emotion_code,emotion_name,intensity,valence,arousal,actor
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,5,angry,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,5,angry,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,5,angry,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,6,fearful,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,6,fearful,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,6,fearful,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,6,fearful,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,6,fearful,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,6,fearful,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,6,fearful,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,6,fearful,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,7,disgust,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,7,disgust,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,7,disgust,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,7,disgust,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,7,disgust,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,7,disgust,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,7,disgust,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,7,disgust,2,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,8,surprised,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,8,surprised,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,8,surprised,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,8,surprised,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,8,surprised,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,8,surprised,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,8,surprised,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,8,surprised,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,1,neutral,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,1,neutral,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,1,neutral,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,1,neutral,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,2,calm,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,2,calm,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,2,calm,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,2,calm,1,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,2,calm,2,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,2,calm,2,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,2,calm,2,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,2,calm,2,1,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,3,happy,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,3,happy,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,3,happy,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,3,happy,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,3,happy,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,3,happy,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,3,happy,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,3,happy,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,4,sad,1,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,4,sad,1,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,4,sad,1,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,4,sad,1,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,4,sad,2,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,4,sad,2,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,4,sad,2,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,4,sad,2,0,0,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,5,angry,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,5,angry,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,5,angry,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,5,angry,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,5,angry,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,5,angry,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,5,angry,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,5,angry,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,6,fearful,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,6,fearful,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,6,fearful,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,6,fearful,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,6,fearful,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,6,fearful,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,6,fearful,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,6,fearful,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,7,disgust,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,7,disgust,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,7,disgust,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,7,disgust,1,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,7,disgust,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,7,disgust,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,7,disgust,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,7,disgust,2,0,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,8,surprised,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,8,surprised,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,8,surprised,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,8,surprised,1,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,8,surprised,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,8,surprised,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,8,surprised,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,8,surprised,2,1,1,2
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,1,neutral,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,1,neutral,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,1,neutral,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-01-01-02-02-03.wav,1,neutral,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-01-01-01-03.wav,2,calm,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,2,calm,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-01-02-01-03.wav,2,calm,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-01-02-02-03.wav,2,calm,1,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-02-01-01-03.wav,2,calm,2,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-02-01-02-03.wav,2,calm,2,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-02-02-01-03.wav,2,calm,2,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-02-02-02-02-03.wav,2,calm,2,1,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,3,happy,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-01-01-02-03.wav,3,happy,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-01-02-01-03.wav,3,happy,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-01-02-02-03.wav,3,happy,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,3,happy,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-02-01-02-03.wav,3,happy,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-02-02-01-03.wav,3,happy,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-03-02-02-02-03.wav,3,happy,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-01-01-01-03.wav,4,sad,1,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-01-01-02-03.wav,4,sad,1,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-01-02-01-03.wav,4,sad,1,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-01-02-02-03.wav,4,sad,1,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-02-01-01-03.wav,4,sad,2,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-02-01-02-03.wav,4,sad,2,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-02-02-01-03.wav,4,sad,2,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-04-02-02-02-03.wav,4,sad,2,0,0,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,5,angry,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-01-01-02-03.wav,5,angry,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-01-02-01-03.wav,5,angry,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-01-02-02-03.wav,5,angry,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-02-01-01-03.wav,5,angry,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-02-01-02-03.wav,5,angry,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-02-02-01-03.wav,5,angry,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-05-02-02-02-03.wav,5,angry,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-01-01-01-03.wav,6,fearful,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-01-01-02-03.wav,6,fearful,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-01-02-01-03.wav,6,fearful,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-01-02-02-03.wav,6,fearful,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-02-01-01-03.wav,6,fearful,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-02-01-02-03.wav,6,fearful,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-02-02-01-03.wav,6,fearful,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-06-02-02-02-03.wav,6,fearful,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-01-01-01-03.wav,7,disgust,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-01-01-02-03.wav,7,disgust,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,7,disgust,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-01-02-02-03.wav,7,disgust,1,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-02-01-01-03.wav,7,disgust,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-02-01-02-03.wav,7,disgust,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-02-02-01-03.wav,7,disgust,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-07-02-02-02-03.wav,7,disgust,2,0,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-01-01-01-03.wav,8,surprised,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-01-01-02-03.wav,8,surprised,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-01-02-01-03.wav,8,surprised,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-01-02-02-03.wav,8,surprised,1,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-02-01-01-03.wav,8,surprised,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-02-01-02-03.wav,8,surprised,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-02-02-01-03.wav,8,surprised,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_03\03-01-08-02-02-02-03.wav,8,surprised,2,1,1,3
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-01-01-01-01-04.wav,1,neutral,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-01-01-01-02-04.wav,1,neutral,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-01-01-02-01-04.wav,1,neutral,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-01-01-02-02-04.wav,1,neutral,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-01-01-01-04.wav,2,calm,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-01-01-02-04.wav,2,calm,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-01-02-01-04.wav,2,calm,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-01-02-02-04.wav,2,calm,1,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-02-01-01-04.wav,2,calm,2,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,2,calm,2,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-02-02-01-04.wav,2,calm,2,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-02-02-02-02-04.wav,2,calm,2,1,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-01-01-01-04.wav,3,happy,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-01-01-02-04.wav,3,happy,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,3,happy,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-01-02-02-04.wav,3,happy,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,3,happy,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-02-01-02-04.wav,3,happy,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-02-02-01-04.wav,3,happy,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-03-02-02-02-04.wav,3,happy,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-01-01-01-04.wav,4,sad,1,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,4,sad,1,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,4,sad,1,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-01-02-02-04.wav,4,sad,1,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-02-01-01-04.wav,4,sad,2,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-02-01-02-04.wav,4,sad,2,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-02-02-01-04.wav,4,sad,2,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-04-02-02-02-04.wav,4,sad,2,0,0,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-01-01-01-04.wav,5,angry,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-01-01-02-04.wav,5,angry,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-01-02-01-04.wav,5,angry,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-01-02-02-04.wav,5,angry,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-02-01-01-04.wav,5,angry,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-02-01-02-04.wav,5,angry,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-02-02-01-04.wav,5,angry,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-05-02-02-02-04.wav,5,angry,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-01-01-01-04.wav,6,fearful,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-01-01-02-04.wav,6,fearful,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-01-02-01-04.wav,6,fearful,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-01-02-02-04.wav,6,fearful,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-02-01-01-04.wav,6,fearful,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-02-01-02-04.wav,6,fearful,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-02-02-01-04.wav,6,fearful,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-06-02-02-02-04.wav,6,fearful,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-01-01-01-04.wav,7,disgust,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-01-01-02-04.wav,7,disgust,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-01-02-01-04.wav,7,disgust,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-01-02-02-04.wav,7,disgust,1,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-02-01-01-04.wav,7,disgust,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-02-01-02-04.wav,7,disgust,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-02-02-01-04.wav,7,disgust,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-07-02-02-02-04.wav,7,disgust,2,0,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-01-01-01-04.wav,8,surprised,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-01-01-02-04.wav,8,surprised,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-01-02-01-04.wav,8,surprised,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-01-02-02-04.wav,8,surprised,1,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-02-01-01-04.wav,8,surprised,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-02-01-02-04.wav,8,surprised,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-02-02-01-04.wav,8,surprised,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_04\03-01-08-02-02-02-04.wav,8,surprised,2,1,1,4
../data/ravdess/audio_speech_actors_01-24\Actor_05\03-01-01-01-01-01-05.wav,1,neutral,1,1,0,5
../data/ravdess/audio_speech_actors_01-24\Actor_05\03-01-01-01-01-02-05.wav,1,neutral,1,1,0,5
